"","name","fy","fp","AccountsPayableCurrent","AccountsReceivableNetCurrent","AccumulatedOtherComprehensiveIncomeLossNetOfTax","CashAndCashEquivalentsAtCarryingValue","CommonStockParOrStatedValuePerShare","CommonStockSharesAuthorized","CommonStockSharesIssued","CommonStockSharesOutstanding","ComprehensiveIncomeNetOfTax","DepreciationAndAmortization","DepreciationDepletionAndAmortization","NetIncomeLoss","OperatingIncomeLoss","PropertyPlantAndEquipmentNet","RetainedEarningsAccumulatedDeficit","WeightedAverageNumberOfSharesOutstandingBasic"
"4904","SHILOH INDUSTRIES INC","2012","Q2",62399500,NA,NA,61500,NA,NA,NA,NA,NA,NA,NA,NA,NA,119523000,NA,NA
"4905","SHILOH INDUSTRIES INC","2013","Q1",NA,NA,NA,139000,0.01,2.5e+07,16990095.5,NA,NA,NA,4653000,NA,NA,NA,NA,NA
"4906","SHILOH INDUSTRIES INC","2013","Q2",NA,NA,-31311000,101750,0.01,2.5e+07,16992345.5,16992345.5,7617500,NA,9597000,NA,12459750,136367500,NA,16909750
"4907","SHILOH INDUSTRIES INC","2014","Q1",NA,NA,-26286000,NA,0.01,2.5e+07,17081550,NA,3557000,NA,NA,NA,NA,NA,NA,NA
"4908","SHILOH INDUSTRIES INC","2014","Q3",NA,NA,NA,3082500,0.01,2.5e+07,17111747.5,17111747.5,NA,NA,17228500,12540750,NA,NA,NA,17051000
"4909","SHILOH INDUSTRIES INC","2015","Q1",144750000,NA,NA,5121000,0.01,NA,NA,NA,NA,NA,7575500,4306000,NA,NA,NA,NA
"4910","SHILOH INDUSTRIES INC","2015","Q2",148714500,NA,-33824500,NA,NA,NA,NA,NA,8546750,NA,NA,NA,NA,NA,NA,NA
"4911","SHILOH INDUSTRIES INC","2015","Q3",150631500,NA,NA,NA,NA,NA,17232233.5,NA,6914250,NA,NA,NA,17511250,274730500,118582000,NA
"4912","SHILOH INDUSTRIES INC","2017","Q1",159157500,NA,NA,NA,NA,5e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4913","SHILOH INDUSTRIES INC","2017","Q2",NA,NA,NA,NA,NA,NA,NA,17744649.5,5414250,NA,NA,NA,NA,NA,119778500,17719000
"4914","SHILOH INDUSTRIES INC","2017","Q3",153301500,NA,NA,10160750,NA,NA,NA,NA,NA,NA,NA,-1006750,NA,266651000,118787500,NA
"4915","SHILOH INDUSTRIES INC","2018","Q2",NA,NA,-41508000,NA,0.01,5e+07,NA,NA,NA,NA,20757000,NA,11245750,NA,122417500,NA
"4916","SHILOH INDUSTRIES INC","2019","Q1",173074500,NA,-49644500,NA,0.01,5e+07,23260168.5,23260168.5,5716500,NA,10988500,NA,NA,NA,133464000,NA
"4917","SHILOH INDUSTRIES INC","2019","Q2",NA,NA,NA,15213000,0.01,5e+07,23260168.5,23260168.5,NA,NA,NA,NA,NA,322767500,NA,NA
"4918","SHILOH INDUSTRIES INC","2020","Q1",NA,NA,NA,NA,0.01,62500000,23485913.5,23485913.5,-2738500,NA,NA,-4189000,NA,326552500,NA,NA
"4919","SHOSHONE SILVER/GOLD MINING CO","2012","Q2",NA,NA,NA,273454.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4920","SHUFFLE MASTER INC","2011","Q3",NA,NA,34641500,18624250,NA,NA,53903000,53903000,NA,NA,17767500,NA,19593250,12921000,NA,53820250
"4921","SHUFFLE MASTER INC","2012","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6226500,9082500,12822000,84662500,54598000
"4922","SHUFFLE MASTER INC","2012","Q2",NA,39332500,NA,18031000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4923","SIBANNAC, INC.","2016","Q1",NA,60733,NA,NA,NA,NA,17527194,NA,NA,NA,NA,NA,NA,NA,-16938,NA
"4924","SIBANNAC, INC.","2016","Q2",NA,45452,NA,NA,NA,NA,NA,9777097,NA,NA,1286,NA,-91856,NA,NA,NA
"4925","SIFCO INDUSTRIES INC","2011","Q3",NA,NA,-10968000,NA,NA,NA,NA,5272000,NA,NA,2224000,NA,4349000,24231000,NA,5297750
"4926","SIFCO INDUSTRIES INC","2012","Q1",9008500,NA,-12646000,10037750,NA,NA,NA,5299000,NA,NA,NA,1196000,1711500,29875500,NA,5279000
"4927","SIFCO INDUSTRIES INC","2013","Q1",8866000,NA,NA,6485000,1,1e+07,5366000,NA,NA,NA,1549000,2300500,NA,NA,NA,NA
"4928","SIFCO INDUSTRIES INC","2013","Q2",9118500,NA,-12192500,6565000,1,1e+07,5386500,5386500,3068500,NA,2270500,NA,2761000,29648000,NA,NA
"4929","SIFCO INDUSTRIES INC","2018","Q2",13021000,NA,-8664500,NA,1,1e+07,5643500,NA,-2224000,NA,4629000,NA,NA,NA,42792500,NA
"4930","SIFCO INDUSTRIES INC","2018","Q3",13603500,NA,NA,NA,1,NA,NA,NA,-5228000,NA,NA,-5670500,-4792250,37896500,42026500,5509500
"4931","SIFCO INDUSTRIES INC","2019","Q1",14863000,NA,NA,NA,1,1e+07,5713000,5713000,-1018000,NA,2060500,NA,NA,NA,38255500,5518500
"4932","SIFCO INDUSTRIES INC","2019","Q2",NA,NA,NA,NA,1,1e+07,5731500,5731500,NA,NA,NA,NA,NA,35364000,NA,NA
"4933","SIFCO INDUSTRIES INC","2019","Q3",NA,NA,NA,976500,1,NA,NA,NA,NA,NA,NA,-5823500,NA,NA,NA,5546500
"4934","SIFCO INDUSTRIES INC","2020","Q1",NA,NA,NA,385000,NA,NA,5820000,5820000,NA,NA,NA,NA,-1399500,NA,NA,NA
"4935","SIGA RESOURCES INC.","2012","Q3",136594.5,NA,NA,NA,0.001,5e+08,45025000,45025000,NA,NA,NA,NA,NA,NA,NA,NA
"4936","SIGA RESOURCES INC.","2014","Q1",NA,NA,NA,NA,0.001,4.5e+08,45105000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4937","SILVERSTAR MINING CORP.","2011","Q3",NA,NA,NA,949.428571428571,NA,NA,42168837,42168837,NA,NA,NA,NA,-327683.8,NA,NA,NA
"4938","SILVERSTAR MINING CORP.","2012","Q1",NA,NA,NA,6750.8,NA,NA,NA,NA,NA,NA,NA,-285613.272727273,NA,NA,NA,NA
"4939","SILVERSTAR MINING CORP.","2012","Q2",NA,NA,NA,2489.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4940","SILVERSTAR MINING CORP.","2012","Q3",NA,NA,NA,NA,1,225000,105671,105671,NA,NA,NA,NA,NA,NA,NA,NA
"4941","SILVERSTAR MINING CORP.","2013","Q1",NA,NA,NA,8250.25,0.001,1.75e+08,169179,NA,NA,NA,NA,-291368.5,NA,NA,NA,NA
"4942","SILVERSTAR MINING CORP.","2014","Q3",NA,NA,NA,2409.75,NA,2.25e+08,6629314.5,NA,NA,NA,NA,NA,-220261.25,NA,NA,NA
"4943","SILVERSTAR RESOURCES, INC.","2015","Q1",NA,NA,NA,1536.5,NA,NA,NA,NA,NA,NA,NA,NA,-66251,NA,NA,NA
"4944","SILVERSTAR RESOURCES, INC.","2015","Q2",NA,NA,NA,1548.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4945","SIMPLY GOOD FOODS CO","2018","Q1",NA,NA,-330500,59688000,NA,NA,NA,NA,NA,NA,NA,NA,19286000,NA,NA,NA
"4946","SIMPLY GOOD FOODS CO","2020","Q2",NA,NA,-906500,160831000,0.01,6e+08,88724910.5,NA,NA,5472000,NA,11281000,26684750,NA,NA,NA
"4947","SIMULATIONS PLUS INC","2012","Q2",NA,1673308.5,NA,10453157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4948","SIMULATIONS PLUS INC","2013","Q1",NA,NA,NA,11730935.5,0.001,5e+07,15925412.5,NA,NA,NA,9863.5,NA,NA,NA,NA,NA
"4949","SIMULATIONS PLUS INC","2013","Q2",NA,1993840,NA,11469478.75,0.001,5e+07,15972164,15972164,NA,NA,20318,NA,1778137.75,100750.5,NA,15802651.25
"4950","SIMULATIONS PLUS INC","2014","Q2",226367,2300593.5,NA,10584162.75,NA,NA,NA,16096677,NA,NA,22436,1253754.75,NA,NA,9417492,16038946.75
"4951","SIMULATIONS PLUS INC","2016","Q1",NA,2818071.5,NA,7527973.5,NA,NA,16969501,NA,NA,NA,NA,NA,NA,NA,9940834.5,NA
"4952","SIMULATIONS PLUS INC","2016","Q2",NA,2700894,NA,NA,NA,NA,NA,16980501,NA,105716.5,723250,NA,2214643.75,365264.5,NA,16920025
"4953","SIMULATIONS PLUS INC","2017","Q1",159955.5,NA,NA,NA,NA,5e+07,NA,17227978,NA,NA,NA,NA,1827814.5,NA,NA,17096140.5
"4954","SIMULATIONS PLUS INC","2017","Q2",164733,3838868,NA,NA,NA,NA,17227978,17227978,NA,NA,NA,NA,NA,268506,11766516.5,17113530.25
"4955","SIMULATIONS PLUS INC","2017","Q3",159878,NA,NA,8027359.75,0.001,NA,NA,NA,NA,NA,NA,NA,NA,256966.5,12375515.5,NA
"4956","SIMULATIONS PLUS INC","2018","Q2",202874.5,NA,NA,NA,0.001,5e+07,NA,NA,NA,NA,892029.75,NA,NA,NA,15245786.5,NA
"4957","SIMULATIONS PLUS INC","2018","Q3",NA,NA,NA,NA,0.001,5e+07,17318024,17318024,NA,NA,1191216.5,4180062,NA,285120,15928185.5,17280928
"4958","SIMULATIONS PLUS INC","2019","Q2",320683.5,NA,NA,NA,NA,NA,NA,17458201.5,NA,NA,NA,NA,3736319,319100.5,18885786,17380206.5
"4959","SINGLE TOUCH SYSTEMS INC","2012","Q3",NA,NA,NA,NA,NA,2e+08,131557392,131557392,NA,325863.75,NA,NA,NA,276611.5,-122526901,129467617.25
"4960","SINGLE TOUCH SYSTEMS INC","2013","Q1",NA,NA,NA,NA,0.001,2e+08,132472392,132472392,NA,155128.5,NA,-1430675.5,NA,NA,NA,131327392
"4961","SINO-GLOBAL SHIPPING AMERICA, LTD.","2018","Q2",400896.666666667,NA,-276702.666666667,NA,2.34,5e+07,NA,NA,794576,NA,31012,NA,NA,NA,-1797240.33333333,NA
"4962","SIONIX CORP","2011","Q3",NA,NA,NA,NA,NA,NA,NA,251738422.5,NA,NA,NA,NA,-1509876.75,35811.5,NA,202867497.75
"4963","SIONIX CORP","2012","Q1",546147,NA,NA,49619.5,NA,NA,NA,303535577,NA,NA,NA,-1212546.5,-917577.5,27766,NA,265722461
"4964","SIONIX CORP","2012","Q2",421748,NA,NA,316622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4965","SIONIX CORP","2012","Q3",NA,NA,NA,NA,NA,NA,324577555.5,334544974,NA,NA,NA,NA,-2087764.25,83708.5,-33944789,293188342.25
"4966","SIONIX CORP","2013","Q2",NA,NA,NA,653737.75,0.001,6e+08,419607447,419607447,NA,NA,NA,NA,-1696376.75,99455.5,NA,374875891.25
"4967","SIRONA DENTAL SYSTEMS, INC.","2012","Q1",NA,109818000,4914750,242163000,NA,NA,NA,NA,NA,NA,NA,40334500,NA,1.29e+08,NA,NA
"4968","SIRONA DENTAL SYSTEMS, INC.","2012","Q3",44479500,107672000,17095833.3333333,NA,0.01,9.5e+07,56385252,55543080.5,NA,58973000,NA,NA,92141250,130546000,353187000,55710310.75
"4969","SIRONA DENTAL SYSTEMS, INC.","2013","Q1",NA,139069000,NA,NA,0.01,9.5e+07,56687335.5,NA,NA,18583500,NA,38289500,NA,NA,NA,NA
"4970","SIRONA DENTAL SYSTEMS, INC.","2013","Q2",59701500,NA,NA,182706250,0.01,9.5e+07,56733332,55268054.3333333,46379750,NA,NA,NA,NA,NA,NA,NA
"4971","SIRONA DENTAL SYSTEMS, INC.","2014","Q1",NA,NA,-2495500,NA,0.01,9.5e+07,57330409,NA,57435500,NA,NA,41236500,NA,NA,NA,NA
"4972","SIRONA DENTAL SYSTEMS, INC.","2014","Q3",NA,158550000,-5700000,223925000,0.01,9.5e+07,57486845,55173896,90075000,5.6e+07,NA,NA,117625000,206500000,NA,NA
"4973","SIRRUS CORP.","2017","Q2",NA,NA,NA,10380.25,0,NA,NA,35763339,NA,NA,NA,NA,NA,NA,-148326.5,NA
"4974","SIRRUS CORP.","2018","Q1",NA,NA,NA,NA,NA,NA,NA,1430533560,NA,NA,NA,-106422,-98913.5,NA,-742474,NA
"4975","SIRRUS CORP.","2018","Q2",NA,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-997349.5,NA
"4976","SITO MOBILE, LTD.","2016","Q1",NA,NA,NA,2308562.66666667,NA,NA,17155478,NA,NA,NA,NA,NA,NA,NA,-139131763.5,NA
"4977","SITO MOBILE, LTD.","2017","Q2",NA,8230264,NA,NA,NA,NA,NA,20681047,NA,NA,NA,NA,NA,NA,-142308544.5,18951229.5
"4978","SKYWORKS SOLUTIONS INC","2010","Q3",NA,NA,-1380000,NA,0.25,5.25e+08,180483500,175247000,NA,NA,NA,NA,NA,NA,NA,NA
"4979","SKYWORKS SOLUTIONS INC","2011","Q2",111958000,NA,-1297000,NA,0.25,5.25e+08,189675500,183103500,NA,NA,NA,NA,NA,NA,-272446000,178397750
"4980","SKYWORKS SOLUTIONS, INC.","2011","Q3",NA,NA,-1297000,377736750,NA,NA,190175500,183208500,NA,NA,NA,NA,119410750,228559000,NA,NA
"4981","SKYWORKS SOLUTIONS, INC.","2012","Q1",105660000,NA,NA,439758500,NA,NA,NA,NA,NA,NA,NA,NA,NA,245883000,NA,182331000
"4982","SKYWORKS SOLUTIONS, INC.","2012","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251838500,NA,NA
"4983","SKYWORKS SOLUTIONS, INC.","2012","Q3",125443500,NA,-1334000,NA,0.25,5.25e+08,198190500,188388500,NA,NA,NA,NA,NA,258702000,-31037000,184451250
"4984","SKYWORKS SOLUTIONS, INC.","2013","Q1",NA,NA,NA,384888500,0.25,5.25e+08,204066538.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4985","SKYWORKS SOLUTIONS, INC.","2013","Q2",NA,NA,-1600000,NA,NA,5.25e+08,204350000,191700000,78775000,NA,NA,NA,NA,286850000,NA,186900000
"4986","SKYWORKS SOLUTIONS, INC.","2013","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112350000,NA,NA,NA,NA
"4987","SKYWORKS SOLUTIONS, INC.","2014","Q2",126150000,NA,NA,518700000,NA,NA,NA,NA,NA,NA,NA,109550000,136300000,NA,NA,NA
"4988","SKYWORKS SOLUTIONS, INC.","2014","Q3",145250000,NA,NA,527950000,0.25,5.25e+08,210400000,188550000,NA,NA,NA,NA,NA,NA,NA,NA
"4989","SKYWORKS SOLUTIONS, INC.","2015","Q1",205800000,NA,NA,753850000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4990","SKYWORKS SOLUTIONS, INC.","2015","Q2",215800000,NA,-6400000,NA,NA,NA,NA,NA,193575000,NA,NA,NA,NA,NA,NA,NA
"4991","SKYWORKS SOLUTIONS, INC.","2015","Q3",214400000,NA,NA,829050000,0.25,5.25e+08,216350000,190100000,NA,NA,NA,NA,NA,NA,NA,NA
"4992","SKYWORKS SOLUTIONS, INC.","2016","Q1",241450000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4993","SKYWORKS SOLUTIONS, INC.","2016","Q2",235900000,NA,NA,1020275000,0.25,5.25e+08,220350000,190250000,NA,NA,NA,324925000,383125000,832050000,1701350000,NA
"4994","SKYWORKS SOLUTIONS, INC.","2016","Q3",NA,NA,NA,NA,NA,NA,NA,188900000,426400000,NA,NA,NA,NA,NA,NA,189500000
"4995","SKYWORKS SOLUTIONS, INC.","2017","Q1",135950000,NA,NA,NA,NA,5.25e+08,NA,184850000,NA,NA,NA,NA,326200000,NA,2366550000,187600000
"4996","SKYWORKS SOLUTIONS, INC.","2017","Q2",137100000,NA,NA,NA,0.25,NA,NA,184700000,369950000,NA,NA,NA,NA,NA,2453100000,187525000
"4997","SKYWORKS SOLUTIONS, INC.","2017","Q3",NA,NA,-10050000,NA,NA,NA,NA,184300000,NA,NA,NA,NA,569525000,NA,2550400000,186825000
"4998","SKYWORKS SOLUTIONS, INC.","2018","Q1",2.1e+08,NA,NA,NA,NA,NA,NA,182750000,NA,NA,NA,164100000,352700000,NA,3064450000,183950000
"4999","SKYWORKS SOLUTIONS, INC.","2018","Q2",228400000,NA,-8650000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,894700000,3173200000,NA
"5000","SKYWORKS SOLUTIONS, INC.","2018","Q3",NA,NA,NA,NA,0.25,5.25e+08,227050000,181400000,NA,NA,NA,473625000,NA,958450000,3287500000,183075000
"5001","SKYWORKS SOLUTIONS, INC.","2019","Q1",193200000,NA,-8500000,NA,0.25,5.25e+08,228850000,175750000,177700000,NA,NA,NA,NA,NA,3841800000,NA
"5002","SKYWORKS SOLUTIONS, INC.","2019","Q2",198900000,NA,-8450000,NA,NA,NA,NA,NA,NA,NA,NA,281750000,439600000,1155350000,3915800000,178575000
"5003","SMARTAG INTERNATIONAL, INC.","2011","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-286874.2,NA,NA,10382560.25
"5004","SMARTAG INTERNATIONAL, INC.","2012","Q1",NA,NA,NA,3681.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10609905.5
"5005","SMARTAG INTERNATIONAL, INC.","2012","Q3",NA,NA,NA,NA,NA,5e+08,10637151,NA,NA,NA,NA,NA,NA,NA,-1377046.5,10637151
"5006","SMARTAG INTERNATIONAL, INC.","2013","Q1",NA,NA,NA,NA,0.001,5e+08,10637151,NA,NA,NA,NA,NA,NA,NA,NA,10637151
"5007","SMARTAG INTERNATIONAL, INC.","2013","Q2",NA,NA,NA,2122,NA,5e+08,10637151,NA,NA,NA,NA,NA,-290966.2,NA,NA,NA
"5008","SMARTAG INTERNATIONAL, INC.","2016","Q1",NA,NA,NA,138266,NA,NA,31637151,NA,NA,NA,NA,NA,NA,NA,-2788629.5,NA
"5009","SMARTAG INTERNATIONAL, INC.","2016","Q3",NA,NA,NA,102863,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5010","SMARTAG INTERNATIONAL, INC.","2017","Q1",NA,NA,NA,49569,0.001,5e+08,NA,NA,NA,NA,NA,NA,-11245,NA,-3151259,31637151
"5011","SMARTAG INTERNATIONAL, INC.","2017","Q2",NA,NA,NA,NA,0.001,5e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5012","SMARTAG INTERNATIONAL, INC.","2018","Q1",NA,NA,NA,79759,NA,NA,NA,NA,NA,NA,NA,NA,-27418.5,NA,NA,NA
"5013","SMARTDATA CORP","2011","Q3",6238,NA,NA,NA,NA,NA,NA,35976781,NA,NA,NA,NA,-65385.2,NA,NA,35926781
"5014","SMARTDATA CORP","2012","Q1",7889.5,NA,NA,135,NA,NA,NA,37076779,NA,NA,NA,-108760.666666667,-106605.333333333,NA,NA,NA
"5015","SMARTDATA CORP","2012","Q3",6380,NA,NA,NA,NA,1e+08,37076779,37076779,NA,NA,NA,NA,NA,NA,NA,NA
"5016","SMARTDATA CORP","2013","Q1",6334.5,NA,NA,NA,0.001,5e+07,37076779,37076779,NA,NA,NA,-119325.666666667,NA,NA,NA,37076779
"5017","SMARTDATA CORP","2014","Q1",NA,NA,NA,NA,0.001,1e+08,950687,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5018","SMARTDATA CORP","2014","Q2",NA,NA,NA,849.8,NA,NA,NA,NA,NA,NA,NA,-111618.8,NA,NA,-394517.5,NA
"5019","SMARTDATA CORP","2014","Q3",NA,NA,NA,15855.25,0.001,1e+08,3284496,3284496,NA,NA,NA,NA,NA,NA,NA,NA
"5020","SMOOFI, INC.","2015","Q2",NA,NA,NA,90527.3333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5021","SMOOFI, INC.","2016","Q3",NA,NA,NA,28536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5022","SNACKHEALTHY, INC.","2015","Q2",71063,NA,NA,1815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5023","SOLAR ENERGY INITIATIVES, INC.","2012","Q1",976021,NA,NA,51007.5,NA,NA,NA,565152689,NA,NA,NA,-691706.5,-673735,16526.5,NA,NA
"5024","SOLAR QUARTZ TECHNOLOGIES CORP","2018","Q1",334841,NA,NA,NA,NA,NA,NA,225034562.5,NA,NA,NA,-131856,-127078.5,NA,-6866956.5,NA
"5025","SOLAR QUARTZ TECHNOLOGIES CORP","2018","Q2",440151.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75968,-7589147.5,NA
"5026","SOLAR QUARTZ TECHNOLOGIES CORP","2018","Q3",NA,NA,NA,NA,0,5e+08,230155522,230155522,NA,NA,NA,-526233.75,NA,72725.5,-7716760,NA
"5027","SOLARIS POWER CELLS, INC.","2014","Q1",NA,NA,NA,NA,0.001,2.16e+09,56923333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5028","SOLARWINDOW TECHNOLOGIES, INC.","2016","Q3",NA,NA,NA,301603,0.001,NA,NA,27067668,NA,NA,NA,NA,NA,NA,NA,26108325
"5029","SOLARWINDOW TECHNOLOGIES, INC.","2017","Q1",161002,NA,NA,NA,NA,3e+08,NA,28583481,NA,NA,NA,NA,-936374,NA,-34537591.5,27569610
"5030","SOLARWINDOW TECHNOLOGIES, INC.","2017","Q2",143612.5,NA,NA,950600.5,0.001,NA,NA,28583481,NA,NA,NA,NA,NA,NA,-35180727.5,27717168.75
"5031","SOLARWINDOW TECHNOLOGIES, INC.","2018","Q1",253140.2,NA,NA,NA,NA,NA,NA,33792088.2,NA,NA,NA,-3455361,-2325900.66666667,NA,-39038728.2,31079147.1666667
"5032","SOLARWINDOW TECHNOLOGIES, INC.","2018","Q2",188340.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44534.2,-39634513,NA
"5033","SOLARWINDOW TECHNOLOGIES, INC.","2019","Q2",NA,NA,NA,5477806.25,0.001,3e+08,44625989.5,44625989.5,NA,NA,NA,NA,-1812594.75,318317.5,NA,NA
"5034","SOLO INTERNATIONAL, INC","2013","Q2",NA,NA,NA,NA,0.001,9e+08,288200000,NA,NA,NA,NA,NA,-225383,NA,NA,NA
"5035","SONIC CORP","2011","Q2",11257500,NA,-734500,NA,0.01,2.45e+08,118311000,NA,NA,NA,NA,NA,NA,NA,675976000,NA
"5036","SONIC CORP","2012","Q3",NA,NA,NA,NA,0.01,2.45e+08,118309000,NA,NA,20624250,NA,NA,43375250,NA,697863000,61059250
"5037","SONIC CORP","2013","Q1",NA,NA,NA,NA,0.01,2.45e+08,118309000,NA,NA,10530500,NA,NA,NA,NA,NA,NA
"5038","SONIC CORP","2014","Q1",NA,NA,NA,NA,0.01,2.45e+08,118309000,NA,NA,NA,NA,7170500,NA,NA,NA,NA
"5039","SONIC CORP","2014","Q3",14092500,NA,NA,54734250,NA,2.45e+08,118309000,NA,NA,20584750,NA,NA,NA,NA,NA,NA
"5040","SONIC CORP","2015","Q1",16248000,NA,NA,63676000,0.01,NA,NA,NA,NA,10847000,NA,NA,NA,NA,NA,NA
"5041","SONIC CORP","2015","Q3",NA,NA,NA,NA,0.01,2.45e+08,118309000,NA,NA,22044500,NA,NA,NA,NA,NA,NA
"5042","SONIC CORP","2016","Q3",15866500,NA,NA,46292250,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5043","SONIC CORP","2017","Q1",16217000,NA,NA,NA,NA,2.45e+08,NA,NA,NA,NA,NA,NA,26548500,NA,NA,47970500
"5044","SONIC CORP","2017","Q2",13634000,NA,NA,42319750,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,900253500,46781750
"5045","SONIC CORP","2018","Q2",9891000,NA,NA,NA,0.01,2.45e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5046","SONIC FOUNDRY INC","2012","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19500,137000,2114500,-179013000,3747329
"5047","SONIC FOUNDRY INC","2012","Q3",1390500,6204000,NA,NA,0.01,1e+07,3860380,3847664,NA,NA,561000,NA,NA,2242000,-178791500,3804241.25
"5048","SONIC FOUNDRY INC","2013","Q1",NA,NA,NA,NA,0.01,1e+07,3911340,3898624,NA,NA,218000,NA,NA,NA,NA,3868893.5
"5049","SONIC FOUNDRY INC","2013","Q2",NA,5615500,NA,4517250,0.01,1e+07,3920885,3908169,NA,NA,458000,NA,-84000,3032000,NA,3878285.75
"5050","SONIC FOUNDRY INC","2014","Q1",NA,NA,-238500,NA,0.01,1e+07,4020850,NA,-415000,NA,NA,NA,NA,NA,NA,NA
"5051","SONIC FOUNDRY INC","2014","Q2",2076500,8374500,-111000,4000250,NA,NA,NA,4107901,-648500,NA,566500,-656250,NA,3338500,-180344500,4029382.5
"5052","SONIC FOUNDRY INC","2014","Q3",NA,8567000,NA,NA,0.01,1e+07,4124691,4111975,NA,NA,872500,-395250,NA,NA,NA,4061895
"5053","SONIC FOUNDRY INC","2015","Q3",1378000,9147000,NA,NA,NA,NA,4322319.5,NA,-1629000,NA,NA,NA,-1467750,3223500,-184023500,NA
"5054","SONIC FOUNDRY INC","2018","Q1",1195000,6890500,-585000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,-1234000,1641000,NA,NA
"5055","SONIC FOUNDRY INC","2020","Q1",NA,NA,NA,2726750,0.723333333333333,1e+07,3545033,5185554.5,-1277000,NA,NA,-1304000,NA,1502500,NA,NA
"5056","SONNEN CORP","2013","Q2",119577.5,NA,NA,NA,NA,2.5e+08,67893000,67893000,NA,1044,NA,NA,NA,NA,NA,67893000
"5057","SONOS INC","2019","Q2",NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,78465000,NA,NA
"5058","SOPAC CELLULAR SOLUTIONS INC.","2012","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700000
"5059","SOTON HOLDINGS GROUP, INC.","2011","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3175000
"5060","SOUPMAN, INC.","2012","Q1",NA,NA,NA,93480.25,NA,NA,NA,NA,NA,NA,NA,NA,-590117.5,32157,NA,15831680.5
"5061","SOUPMAN, INC.","2012","Q2",NA,179210,NA,323153.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5062","SOUPMAN, INC.","2012","Q3",NA,125717.5,NA,NA,0.001,7.5e+07,28247870,27747870,NA,NA,NA,NA,-2289135.75,31764,-7918308,NA
"5063","SOUPMAN, INC.","2013","Q2",NA,NA,NA,215504.5,0.001,7.5e+07,31375145,31375145,NA,NA,NA,NA,NA,24882.5,NA,NA
"5064","SOUPMAN, INC.","2016","Q3",NA,NA,NA,167810.5,0.001,NA,NA,103383164.5,NA,NA,NA,NA,NA,NA,NA,80098573
"5065","SOUPMAN, INC.","2017","Q1",NA,NA,NA,NA,NA,5e+08,232553674,232553674,NA,NA,NA,NA,-646883,NA,-31361130.5,NA
"5066","SOUTH AMERICAN GOLD CORP.","2012","Q3",257781.5,NA,19234.5,NA,0.001,4.5e+08,79211890,79211890,-1783980,NA,NA,NA,NA,1657,-4072568.5,NA
"5067","SOUTHWEST IOWA RENEWABLE ENERGY, LLC","2012","Q2",NA,NA,NA,6526556.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,161557240,NA,NA
