name,fy,fp,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,CashAndCashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,ComprehensiveIncomeNetOfTax,DepreciationAndAmortization,DepreciationDepletionAndAmortization,NetIncomeLoss,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,WeightedAverageNumberOfSharesOutstandingBasic
"AFH ACQUISITION V, INC.",2013,Q2,,,,,,1.00E+08,5.00E+06,5.00E+06,,,,,,,,
"AFH ACQUISITION VI, INC.",2011,Q3,,,,,,,,5.00E+06,,,,,,,,
"AFH ACQUISITION VI, INC.",2012,Q1,,,,,,,,5.00E+06,,,,-16396.66667,,,,
"AFH ACQUISITION VI, INC.",2012,Q2,,,,0,,,,,,,,,,,,
"AFH ACQUISITION VI, INC.",2013,Q1,,,,,0.001,1.00E+08,5.00E+06,5.00E+06,,,,,,,,
"AFH ACQUISITION VI, INC.",2013,Q2,,,,,,1.00E+08,5.00E+06,5.00E+06,,,,,,,,
"AFH ACQUISITION VII, INC.",2011,Q3,,,,,,,,5.00E+06,,,,,,,,
"AFH ACQUISITION VII, INC.",2012,Q1,,,,,,,,5.00E+06,,,,-16376.66667,,,,
"AFH ACQUISITION VII, INC.",2013,Q1,,,,,0.001,1.00E+08,5215000,5215000,,,,,,,,
"AFH ACQUISITION VII, INC.",2013,Q2,,,,25531,0.001,1.00E+08,5191425,5191425,,,,-728788.0909,,,2946975,
"AFH ACQUISITION VIII, INC.",2011,Q3,,,,,,,,5.00E+06,,,,,,,,
"AFH ACQUISITION VIII, INC.",2012,Q1,,,,,,,,5.00E+06,,,,-18183.33333,,,,
"AFH ACQUISITION VIII, INC.",2012,Q2,,,,0,,,,,,,,,,,,
"AFH ACQUISITION VIII, INC.",2013,Q1,,,,,0.001,1.00E+08,5.00E+06,5.00E+06,,,,,,,,
"AFH ACQUISITION VIII, INC.",2013,Q2,,,,,,1.00E+08,5.00E+06,5.00E+06,,,,,,,,
"AFH ACQUISITION X, INC.",2011,Q3,,,,,,,,5.00E+06,,,,,,,,
"AFH ACQUISITION X, INC.",2012,Q1,,,,,,,,5.00E+06,,,,-19318.33333,,,,
"AFH ACQUISITION X, INC.",2012,Q2,,,,0,,,,,,,,,,,,
"AFH ACQUISITION X, INC.",2013,Q1,,,,,0.001,1.00E+08,5.00E+06,5.00E+06,,,,,,,,
"AFH ACQUISITION X, INC.",2013,Q2,,,,,,1.00E+08,5.00E+06,5.00E+06,,,,,,,,
"AFH ACQUISITION XI, INC.",2011,Q3,,,,,,,,5.00E+06,,,,,,,,
"AFH ACQUISITION XI, INC.",2012,Q1,,,,,,,,5.00E+06,,,,-19128.33333,,,,
"AFH ACQUISITION XI, INC.",2012,Q2,,,,0,,,,,,,,,,,,
"AFH ACQUISITION XI, INC.",2013,Q1,,,,,0.001,1.00E+08,5.00E+06,5.00E+06,,,,,,,,
"AFH ACQUISITION XI, INC.",2013,Q2,,,,,,1.00E+08,5.00E+06,5.00E+06,,,,,,,,
"AFH ACQUISITION XII, INC.",2011,Q3,,,,,,,,5.00E+06,,,,,,,,
"AFH ACQUISITION XII, INC.",2012,Q1,,,,,,,,5.00E+06,,,,-13098.83333,,,,
"AFH ACQUISITION XII, INC.",2012,Q2,,,,0,,,,,,,,,,,,
"AFH ACQUISITION XII, INC.",2013,Q1,,,,,0.001,1.00E+08,5.00E+06,5.00E+06,,,,,,,,
"AFH ACQUISITION XII, INC.",2013,Q2,,,,,,1.00E+08,5.00E+06,5.00E+06,,,,,,,,
"AFTERMASTER, INC.",2018,Q2,531387,,61200,,0.001,2.50E+08,,,,,,,,,-73730305.5,
"AG ACQUISITION GROUP II, INC.",2018,Q3,387,,,2512,,,,,,,,-8817.5,,,-6181.5,
AGILENT TECHNOLOGIES INC,2011,Q1,471500000,,-75500000,,0.01,2.00E+09,581500000,,140500000,,,,152500000,,,
AGILENT TECHNOLOGIES INC,2011,Q2,492500000,893500000,9.50E+07,,0.01,2.00E+09,5.83E+08,,375750000,,,,,,3640500000,347500000
AGILENT TECHNOLOGIES INC,2011,Q3,,,91500000,2636500000,,,,,4.94E+08,,162500000,,,9.90E+08,,
AGILENT TECHNOLOGIES INC,2012,Q1,,8.37E+08,101500000,3.12E+09,,,,,,,,,,1006500000,,
AGILENT TECHNOLOGIES INC,2013,Q1,,898500000,,,0.01,2.00E+09,,,,,7.80E+07,,,,,
AGILENT TECHNOLOGIES INC,2013,Q2,454500000,,,3073250000,0.01,2.00E+09,,5.97E+08,,,,,,,,
AGILENT TECHNOLOGIES INC,2014,Q2,,,,,0.01,2.00E+09,,603500000,,,,,,,,
AGILENT TECHNOLOGIES INC,2015,Q3,2.75E+08,6.05E+08,,,,,,,,,,,247500000,6.09E+08,5.97E+09,
AGILENT TECHNOLOGIES INC,2016,Q1,264500000,611500000,,2017333333,,,,,,,,,,,5623500000,
AGILENT TECHNOLOGIES INC,2018,Q1,298500000,737500000,,,,,,322500000,,,5.30E+07,,222500000,,-327500000,322500000
AGILENT TECHNOLOGIES INC,2018,Q3,,,,2415250000,,,,,,,,259750000,428250000,7.79E+08,-2.71E+08,321250000
AGILENT TECHNOLOGIES INC,2019,Q2,,,,2.20E+09,0.01,2.00E+09,,317500000,,,,,,824500000,,
"AGILENT TECHNOLOGIES, INC.",2020,Q2,,9.08E+08,-524333333.3,1.35E+09,0.01,2.00E+09,,308500000,,,,316750000,275250000,,,
AIM EXPLORATION INC.,2016,Q1,,,,3155,,,89100000,,,,,,,,-1801540.5,
AIM EXPLORATION INC.,2016,Q3,,,,2926.6,,,,,,,,,,,,
AIM EXPLORATION INC.,2017,Q2,,,,,,,,354560538.5,,,,,,,-3604580.5,
AIR PRODUCTS & CHEMICALS INC /DE/,2010,Q3,,,-1196150000,266825000,1,,249455584,,,,,,,,,
AIR PRODUCTS & CHEMICALS INC /DE/,2011,Q2,,1.54E+09,-1070800000,340925000,1,,249455584,,525875000,,,408250000,,,8023700000,212950000
AIR PRODUCTS & CHEMICALS INC /DE/,2012,Q1,,1552250000,-1264500000,,,,,,,,,,,7468950000,,212250000
AIR PRODUCTS & CHEMICALS INC /DE/,2012,Q3,,1390050000,-1253600000,403600000,,,,,,,624050000,684750000,,7465400000,8916050000,
AIR PRODUCTS & CHEMICALS INC /DE/,2013,Q1,,1526350000,,,,,,,,,,,,,,
AIR PRODUCTS & CHEMICALS INC /DE/,2013,Q2,,,,391833333.3,1,,249455584,,4.53E+08,,,,,,,
AIR PRODUCTS & CHEMICALS INC /DE/,2014,Q1,,,,461200000,,,,,,,,,,,9715900000,
AIR PRODUCTS & CHEMICALS INC /DE/,2015,Q2,,1433700000,,,,,,,,,,,,,,213475000
AIR PRODUCTS & CHEMICALS INC /DE/,2015,Q3,,,,,1,,249455584,,,,702050000,,,,,
AIR PRODUCTS & CHEMICALS INC /DE/,2016,Q2,,,-2127066667,238400000,,,249455584,,-12250000,,466800000,,680825000,,,
AIR PRODUCTS & CHEMICALS INC /DE/,2017,Q1,,,,,,,249455584,,,,,,350300000,,10623600000,216750000
AIR PRODUCTS & CHEMICALS INC /DE/,2017,Q2,,1161250000,,,1,,,,1104750000,,,,,,1.16E+10,216925000
AIR PRODUCTS & CHEMICALS INC /DE/,2017,Q3,,,,1354766667,1,,,,,,,804375000,,8288350000,11529850000,
AIR PRODUCTS & CHEMICALS INC /DE/,2018,Q1,,,-1771500000,2217233333,,,,,,,,,394500000,8536050000,,
AIR PRODUCTS & CHEMICALS INC /DE/,2018,Q2,,,-1691350000,,1,,,,1555175000,,442900000,,,,12906550000,
AIR PRODUCTS & CHEMICALS INC /DE/,2018,Q3,,,,,1,,249455584,,,,674150000,,,9171100000,13023400000,218700000
AIR PRODUCTS & CHEMICALS INC /DE/,2019,Q1,,1237700000,,,1,,249455584,,292300000,,242950000,,,,13453900000,219400000
AIR PRODUCTS & CHEMICALS INC /DE/,2019,Q2,,,,2763600000,1,,249455584,,,,,,714875000,10058750000,,
AIR PRODUCTS & CHEMICALS INC /DE/,2019,Q3,,,,,1,,,,,,,815900000,,,,219900000
AIR PRODUCTS & CHEMICALS INC /DE/,2020,Q2,,,-2426900000,2234400000,1,,249455584,,,,,655325000,800850000,,,
AIRBORNE WIRELESS NETWORK,2017,Q1,,,,,,2.00E+08,75934375,75934375,,,,,-3829390,,,
AIRBORNE WIRELESS NETWORK,2017,Q2,,,,232047.3333,0.001,,,80188027,,,,,,,-10061951.5,
AIRBORNE WIRELESS NETWORK,2018,Q1,313233,,,332852.6,,,,,,,,,-6722365.571,22825.6,,
AIRBORNE WIRELESS NETWORK,2018,Q2,369892.3,,,,0.001,3.50E+08,87030581,,,,,,-13178403.54,,-40975606.67,
AIRWARE LABS CORP.,2013,Q2,1537718.5,373827,,44624,1.00E-04,2.00E+08,32383228,32383228,,32095.5,,,-2263285,37441.5,,
AIRWARE LABS CORP.,2014,Q1,,,,,,,,,,14465.5,,,,,,
AIRWARE LABS CORP.,2014,Q3,,32497,,,1.00E-04,2.00E+08,49002984,49002984,,-43667,,-4828079,,,,
AIRWARE LABS CORP.,2016,Q3,1684822.5,,,32206,,,,,,,,,,,,
"AJIA INNOGROUP HOLDINGS, LTD.",2019,Q2,,,,2342.25,0.001,287500000,8770000,8770000,,,,,,837,,
ALAMOGORDO FINANCIAL CORP,2014,Q3,,,-717501,,0.1,2.00E+07,1324106,,,,,,,,,
"ALARMING DEVICES, INC.",2012,Q3,,,,,,7.50E+07,5340000,5340000,,,,,,,,
"ALARMING DEVICES, INC.",2013,Q1,,,,,0.001,7.50E+07,5340000,5340000,,,,,,,,
"ALARMING DEVICES, INC.",2014,Q1,,,,,0.001,7.50E+07,5340000,,,,,-15408.5,,,,
"ALARMING DEVICES, INC.",2014,Q2,,,,,,,,,,,,-9721.4,,,-127939.5,
ALBERTO-CULVER CO,2011,Q2,121947500,,-63245500,,0.01,3.00E+08,101018471.5,,,,,,,243808000,936371000,99908000
ALICO INC,2011,Q3,,,,,,,,7362500,,,,,8976250,,,7370000
ALICO INC,2012,Q1,4652000,6719000,,5134250,,,,7345961.5,,,,920000,2003000,129949500,,7362000
ALICO INC,2012,Q2,,8221000,,4753500,,,,,,,,,,,,
ALICO INC,2013,Q1,,5424500,,,1,1.50E+07,7377106,,,,2024000,1485500,,,,
ALICO INC,2013,Q2,5148000,,,4736250,1,1.50E+07,7377106,7321842,,,,,,,,
ALICO INC,2014,Q1,,,,,1,1.50E+07,7377106,,167000,,,,,,,
ALICO INC,2014,Q3,,10365500,,,1,1.50E+07,7377106,7329729,,,4490750,4393250,,,,7324500
ALICO INC,2015,Q1,2536500,,,17655000,1,,,,,,2171500,2535500,,,,
ALICO INC,2015,Q2,3509000,,,,,,,,5502000,,,,,,,
ALICO INC,2015,Q3,,11913500,,,,,,,5352166.667,,,,11972750,,142522000,
ALICO INC,2016,Q1,3963500,7605500,,,,,,,,,,,,,,
ALICO INC,2016,Q2,5608500,13951500,,10266750,1,1.50E+07,8416145,8313821.5,,,5518500,4572444.444,7382375,380099500,148842000,
ALICO INC,2016,Q3,,,,,,,,8317354,10717500,,,,,,,8213750
ALICO INC,2017,Q1,4853000,,,,,1.50E+07,,8320131,,,,,-1797000,,150387000,8313500
ALICO INC,2017,Q2,,13694000,,4173000,,,,8310927,,,,,,,153054000,8308250
ALICO INC,2017,Q3,,8292000,,,1,,,8288421.5,,,,,17164750,,155545500,8304000
ALICO INC,2018,Q1,,,,3023500,,,,,,,,,-2169500,348923000,,
ALICO INC,2018,Q2,3820500,,,,1,1.50E+07,8416145,,,,5507500,,,,141155000,
ALICO INC,2018,Q3,3126500,,,,,,,,,,,9122000,13013500,343286000,145459000,8269750
ALICO INC,2019,Q1,3383000,4693000,,,1,1.50E+07,8416145,7827376,,,3474000,,,,156954500,7862000
ALICO INC,2019,Q2,,,,12933000,1,1.50E+07,8416145,7831380,,,,,7317000,341666500,,
ALICO INC,2019,Q3,,,,,,,,,,,,14750000,,,,7852750
"ALICO, INC.",2020,Q2,,2549000,,49518500,1,1.50E+07,8416145,7478092,,,,5140000,8308500,,,
ALION SCIENCE & TECHNOLOGY CORP,2011,Q3,,,-177000,,,,,,,6971750,10559000,,16382250,9944500,,
ALION SCIENCE & TECHNOLOGY CORP,2012,Q1,,181819500,-123000,19875750,,,,,,,,-11971000,8139000,10852500,,
ALION SCIENCE & TECHNOLOGY CORP,2012,Q2,,181731000,,19229500,,,,,-15941500,,,,,11071000,,
ALION SCIENCE & TECHNOLOGY CORP,2012,Q3,,94049500,-123000,,,,,,-10443750,,4807750,,9633625,,-106147000,
ALION SCIENCE & TECHNOLOGY CORP,2013,Q2,,,,11031846.15,,,,,-6258300,,,,,,,
ALION SCIENCE & TECHNOLOGY CORP,2014,Q1,,,130000,,,,,,-5896600,,,-5896600,,,,
ALION SCIENCE & TECHNOLOGY CORP,2014,Q2,,,,,,,,,-10050625,,,,,,-128668875,
ALION SCIENCE & TECHNOLOGY CORP,2014,Q3,,,130000,,,,,,-11925625,,4800000,,,,,
ALKALINE WATER CO INC,2016,Q3,704975.5,,,,0.001,,,,,,,,,,,
ALL FOR ONE MEDIA CORP.,2017,Q1,44572,,,,,5.00E+07,,16542852,,,,,-249108,,-2659648,
ALL FOR ONE MEDIA CORP.,2017,Q2,,,,,,,,17547761,,,,,,,-2967908,
ALL FOR ONE MEDIA CORP.,2018,Q1,,,,,,,,25897694.5,,,,106938,-165883,,-7257045,22069447.5
ALL FOR ONE MEDIA CORP.,2018,Q2,52834.5,,,,,,,,,,,,,,-6258674.6,
ALL FOR ONE MEDIA CORP.,2019,Q2,,,,83611,0.001,1.50E+09,64221975,64221975,,,,,,,,
ALLBRITTON COMMUNICATIONS CO,2012,Q1,2419000,39514500,,2260000,,,,20000,,,,7767000,22188000,36941000,,
ALLBRITTON COMMUNICATIONS CO,2012,Q3,2981500,39072000,,,0.05,20000,20000,20000,,4611250,,,,35559500,64397500,
ALLBRITTON COMMUNICATIONS CO,2013,Q1,,,,,0.05,20000,20000,20000,,2334500,,,,,,
ALLBRITTON COMMUNICATIONS CO,2014,Q1,,,,,0.05,20000,20000,,,,,14944000,,,,
ALLEZOE MEDICAL HOLDINGS INC,2012,Q1,,,,42663.6,,,,,,,,-11840786.2,,2175,,
"ALPHABET HOLDING COMPANY, INC.",2014,Q3,,178101000,-23347333.33,183894000,,,,,46025500,,,,162934000,,,
"ALPHABET HOLDING COMPANY, INC.",2016,Q1,,193958500,,215338000,,,,,-19329500,,,,,,-160723500,
ALTERNATIVE INVESTMENT CORP,2016,Q1,,,,38998,,,8648808,,,,,,,,-552703.5,
ALTERNATIVE INVESTMENT CORP,2016,Q2,,,,,,,,8638785,,,,,-57374.25,,,
ALTERNATIVE INVESTMENT CORP,2017,Q1,48825,,,50992.5,,1.60E+09,,,,,,,-78380.5,,,
ALTERNATIVE INVESTMENT CORP,2017,Q2,24155,,,,,,8648808,8638750,,,,,,,-1005266,
ALTERNATIVE INVESTMENT CORP,2019,Q1,215434.5,,,,0.001,1.60E+09,432192,431991,,,,,,,-1858388.5,
ALTERNATIVE INVESTMENT CORP,2019,Q2,238279,,,,,,432091.5,432091.5,,,,,-107273.25,,-1897318.5,
ALTERNATIVE INVESTMENT CORP,2019,Q3,,,,,0.001,,,,,,,-184232.3333,,,,
ALTEX INDUSTRIES INC,2011,Q2,27000,,,3499000,0.01,5.00E+07,13619606,13619606,,,,-113750,,264000,-10582500,
ALTEX INDUSTRIES INC,2011,Q3,,,,3458250,,,,13619606,,,8666.666667,,,261000,,
ALTEX INDUSTRIES INC,2012,Q1,22000,,,3027250,,,,13619606,,,,,,242000,,13619606
ALTEX INDUSTRIES INC,2012,Q2,,,,3008250,,,,,,,,,,,,
ALTEX INDUSTRIES INC,2013,Q1,,,,,0.01,5.00E+07,13288343,13288343,,,7500,,,,,
ALTEX INDUSTRIES INC,2013,Q2,,,,,0.01,5.00E+07,13288343,13288343,,,11250,,,2.00E+05,,
ALTEX INDUSTRIES INC,2014,Q2,3500,,,,,,,,,,,-117500,,,-11485500,
ALTEX INDUSTRIES INC,2015,Q3,,,,,,,,,,,,,,,-11838000,
ALTEX INDUSTRIES INC,2016,Q1,15000,,,2641500,,,12923232,,,,,,,,-12109000,
ALTEX INDUSTRIES INC,2018,Q1,6000,,,2398000,,,,,,,,,-29500,106500,,
ALTEX INDUSTRIES INC,2018,Q3,3500,,,,0.01,,,,,,,-47750,-62250,102500,-12590500,
ALTEX INDUSTRIES INC,2019,Q2,,,,2302750,0.01,5.00E+07,12351731,12317053.5,,,,,,94000,,
"AMAROK RESOURCES, INC.",2011,Q3,,,,755269.4,,,,77109240,,,,,,,,
"AMAROK RESOURCES, INC.",2012,Q1,,,,1021308.75,,,,78386360,,,,-1524171.333,,,,
"AMAROK RESOURCES, INC.",2013,Q2,,,,,0.001,1.75E+08,79025760,79025760,,,148077,,,,,78858820
AMBER GROUP INC,2016,Q2,,,,4725,,,4502500,,,,,,-3927,,,
AMBER GROUP INC,2016,Q3,,,,1382.5,,,,4502500,,,,,,,,
AMBER GROUP INC,2017,Q1,,,,,,5.00E+08,,,,,,,-5153.5,,-31227,
"AMBICOM HOLDINGS, INC",2012,Q3,,280710,,,,343750000,19475925.25,19475925.25,,,2894.4,,,21233,-11103606.75,
"AMBICOM HOLDINGS, INC",2014,Q3,,318737.5,,445927.25,,1.25E+08,11442473,,,,,,,,,
"AMBICOM HOLDINGS, INC",2016,Q2,,,,151367.25,,,18915297.5,,,,,,-3274584.75,,,
AMCON DISTRIBUTING CO,2011,Q3,,,,,,,,593376,,,931671.75,,7417084,12971552.5,,579523.5
AMCON DISTRIBUTING CO,2012,Q1,,,,,,,,,,,,1635200.5,3048474.5,13584103.5,32347135.5,599273
AMCON DISTRIBUTING CO,2012,Q3,17249870.5,33498314,,,0.01,3.00E+06,,608795.5,,,1094027.75,,6647657.75,,33817899.5,603137.25
AMCON DISTRIBUTING CO,2013,Q1,16204752.5,32508448.5,,,0.01,3.00E+06,,,,,603678,1450543.5,,,,
AMCON DISTRIBUTING CO,2014,Q3,,29041220.5,,,0.01,3.00E+06,,612858.5,,,,,4982167.75,13516485,,
AMCON DISTRIBUTING CO,2015,Q2,16520277.5,,,,,,,,,,,,,,,
AMCON DISTRIBUTING CO,2016,Q1,16410057,31638651.5,,,,,,,,,,,,,,
AMCON DISTRIBUTING CO,2016,Q3,17521282,,,,,,,,,,,,,,,
AMCON DISTRIBUTING CO,2017,Q1,16992355.5,,,,,3.00E+06,677997.5,,,,,,2320527.5,,59055530,653512
AMCON DISTRIBUTING CO,2020,Q1,,,,,0.01,3.00E+06,,559223.5,,,,848595.5,,17989697,,
AMERICAN BATTERY METALS CORP,2019,Q2,,,,,,,103829770.5,103829770.5,,,,,-4540721,,-41831839.5,
AMERICAN BATTERY METALS CORP,2019,Q3,,,,60252.75,0.001,,,,,,,-3872225,,,,
AMERICAN BRIVISION (HOLDING) CORP,2017,Q1,,,,,,3.60E+08,,,,,,,-1820995.5,,-11393509.5,177402492
AMERICAN BRIVISION (HOLDING) CORP,2017,Q2,,,,,,,,196947405,,,,,,,-9280644.4,177402492
AMERICAN CRYOSTEM CORP,2012,Q2,,6875,,,,,,,,,,,,330361.5,,
AMERICAN CRYOSTEM CORP,2013,Q1,,,,,0.001,3.00E+08,27597862,27597862,,,9454.5,-264070,,,,
AMERICAN CRYOSTEM CORP,2013,Q2,,,,,,3.00E+08,28693719,28693719,,,19009,,,315377,,
AMERICAN CRYOSTEM CORP,2014,Q2,,,,47845.75,,,,,,,19617.5,-527950.75,,,-6470447,
AMERICAN CRYOSTEM CORP,2016,Q1,,32563,,17888,,,33865475.5,,,,,,,,-9579261.5,
AMERICAN CRYOSTEM CORP,2016,Q2,,30958,,14125,0.001,,35308060.5,,,,20217.5,,-223899.25,,,
AMERICAN CRYOSTEM CORP,2018,Q1,,295869.5,,155601,,,,,,,,,-255720,114495.5,,
AMERICAN CRYSTAL SUGAR CO /MN/,2012,Q1,,,,127500,,,,,,,,223511000,228496000,389783333.3,-11070666.67,
AMERICAN CRYSTAL SUGAR CO /MN/,2013,Q1,42900333.33,76372333.33,,125750,10,4000,2766.333333,,,,17301000,238100000,,,,
AMERICAN CRYSTAL SUGAR CO /MN/,2013,Q2,35626666.67,,-93629666.67,167000,10,4000,2761,2761,7949500,,25743500,,346897000,393721333.3,,
AMERICAN ELECTRIC POWER CO INC,2017,Q3,,353535714.3,-37285714.29,,,,,,,,,,318189285.7,,2059314286,491571468.5
AMERICAN GENE ENGINEER CORP,2016,Q1,,,,12286.75,,,1.00E+08,,,,,,,,-284116,
AMERICAN GENE ENGINEER CORP,2017,Q1,,,,99333.25,,,,,,,,-53432,,,,
AMERICAN GENE ENGINEER CORP,2017,Q2,,,,,,,1.00E+08,1.00E+08,,,,,,,-601740,
AMERICAN GENE ENGINEER CORP,2018,Q1,,,,94134.5,0.001,2.00E+08,1.00E+08,1.00E+08,,,,-55281,,,-888141,
AMERICAN INTERNATIONAL VENTURES INC /DE/,2014,Q1,,,,,0,4.00E+08,196342544,,,,,,,,,
AMERICAN LASER HEALTHCARE CORP,2013,Q1,,,,,,,90067500,90067500,,426,,,,,,
AMERICAN LASER HEALTHCARE CORP,2013,Q2,11178,,,,,1.00E+08,90667750,90667750,,949,,,,,,
AMERICAN LASER HEALTHCARE CORP,2014,Q1,,,,,2.00E-04,1.00E+08,9299500,,,,,,,,,
AMERICAN LIBERTY PETROLEUM CORP.,2013,Q1,,,,,0,4.50E+08,106575815.5,106575815.5,,,,-1045500,,,,
AMERICAN LIBERTY PETROLEUM CORP.,2013,Q2,,,,,,4.50E+08,106575815.5,106575815.5,,,,,,,,
AMERICAN LIBERTY PETROLEUM CORP.,2014,Q3,,,,69181.5,0,4.50E+08,107389051,107389051,,,,,,,,
AMERICAN MINING CORP,2012,Q1,,,,,,,,,,,,-146330.3333,,,,
AMERICAN MINING CORP,2012,Q3,,,,,1.00E-04,9.00E+08,680202,,,2153,,,,,-417740,
AMERICAN MINING CORP,2013,Q1,,,,,1.00E-04,9.00E+08,680202,,,717.6666667,,,,,,
AMERICAN MINING CORP,2013,Q2,,,,,,9.00E+08,680202,,,2153,,,,,,
"AMERICAN NANO SILICON TECHNOLOGIES, INC.",2011,Q3,,,1396612,340528.5,,,,31027695,-2235762.5,,470959.5,,2092707.25,18846809.5,,29747000
AMERICAN PACIFIC CORP,2012,Q1,12157500,51883500,,25909500,,,,7585841,,,,-1734000,-39000,110934000,,7522000
AMERICAN PACIFIC CORP,2012,Q2,,54768500,,26900250,,,,,,,,,,,,
AMERICAN PACIFIC CORP,2012,Q3,11358500,22540666.67,-24073000,,0.1,2.00E+07,7591091,7591091,-1666750,,6868250,,3580000,,2439500,7535750
AMERICAN PACIFIC CORP,2013,Q1,,21132500,,24726250,0.1,2.00E+07,7744153.5,,,,3496000,653000,,,,
AMERICAN PACIFIC CORP,2013,Q2,11174500,,-31458000,27448750,0.1,2.00E+07,7786178,7786178,2976250,,5161000,,6746750,103229500,,7631000
AMERICAN PACIFIC CORP,2013,Q3,,,-30887000,,,,,,9032000,,,,,,,
AMERICAN PACIFIC CORP,2014,Q1,,,-15231500,,0.1,2.00E+07,7973456.5,,3298500,,,2739000,,,,
AMERICAN POWER CORP.,2011,Q3,,,,,,,91716042.5,91716042.5,,7131.666667,,,,4004,,90582777
AMERICAN POWER CORP.,2012,Q1,,,,,,,,,,,,-1525538.25,,3063,,92356552.5
AMERICAN POWER CORP.,2012,Q2,,,,,,,,,,,,,,3432,,92840417.17
AMERICAN POWER CORP.,2013,Q1,,,,,0.001,5.00E+08,100094415,101879997.5,,12739.22222,,-1436412.5,,,,
AMERICAN POWER GROUP CORP,2013,Q1,,522638,,1903591.5,0.01,1.50E+08,45567996,,,,43019.5,,,,,
AMERICAN POWER GROUP CORP,2014,Q2,904726,1632693.5,,2866895.5,,,,49327298,,,139106.5,,,,-61961457,
AMERICAN POWER GROUP CORP,2016,Q1,,465233.5,,659654.75,,,53210452.5,,,,,,,,-64852258.5,
AMERICAN POWER GROUP CORP,2016,Q2,783722.5,574813,,333410,0.01,,57573000.5,,,,174207.5,,-1718434,,,
AMERICAN POWER GROUP CORP,2017,Q3,515457.5,,,153825.75,,,,,,,,-5018700.25,,1938225,-78138901.5,
AMERICAN REALTY FUNDS CORP,2012,Q2,,,,33853.8,,,,,,,,,,104.3333333,,9667518.167
AMERICAN SIERRA GOLD CORP.,2012,Q3,,,,,0.001,2.00E+09,79727734.5,79727734.5,,,,,,,,73964788.5
AMERICAN SOIL TECHNOLOGIES INC,2011,Q3,1656794,,,,,,,68090590,,52482.5,,,-369949.5,8013,,
AMERICAN SOIL TECHNOLOGIES INC,2012,Q2,1698895.5,24881.5,,7131.25,,,,,,,,,,624.5,,
AMERICAN SOIL TECHNOLOGIES INC,2012,Q3,1690374,16463.5,,,,1.00E+08,68090590,68090590,,37957.5,,,,557,-28269282.5,
AMERICAN SOIL TECHNOLOGIES INC,2013,Q1,1592796,,,,0.001,1.00E+08,68090590,68090590,,10448,,-94375,,,,68090590
AMERICAN SOIL TECHNOLOGIES INC,2014,Q1,,,,,0.001,1.00E+08,68090590,,,,,,,,,
AMERICAN SOIL TECHNOLOGIES INC,2015,Q3,,,,,0.001,1.00E+08,68090590,68090590,,5218,,,,,,
"AMERICANN, INC.",2016,Q1,,,,122218.75,,,16631000,,,,,,,,-3888875,
"AMERICANN, INC.",2016,Q2,,,,,,,,16631000,,3990,,,,8282,,
"AMERICANN, INC.",2016,Q3,,,,120904.75,1.00E-04,,,16631000,,,,,,,,16628161.25
"AMERICANN, INC.",2017,Q1,,,,,,1.00E+08,,,,,,,-406653,,,17458717.5
"AMERICANN, INC.",2017,Q2,,,,,,,18106000,18106000,,,,,,4995,-6419797.5,17776345
"AMERICANN, INC.",2018,Q1,,,,366991,,,,,,,3739.5,,-508610,4012.5,,
"AMERICANN, INC.",2019,Q2,,,,,,,22555639.5,22555639.5,,,,,-735477,3933.5,-13657255,21099797.25
"AMERICANN, INC.",2019,Q3,,,,,1.00E-04,,,,,,,-1308581.25,,,,21177000.75
AMERIGAS PARTNERS LP,2010,Q3,101920666.7,,-19352333.33,31425000,,,,,,,,,,,,
AMERIGAS PARTNERS LP,2011,Q2,155528666.7,267360666.7,6604333.333,,,,,,,,,,,643670000,,
AMERIGAS PARTNERS LP,2012,Q1,,284737333.3,-2924333.333,21162000,,,,,,,,58696500,,647245000,,
AMERIGAS PARTNERS LP,2014,Q2,212932666.7,431505333.3,6935000,58577500,,,,,292956250,,99729500,284546250,,1437658667,,
AMERIGAS PARTNERS LP,2016,Q1,,281092000,,15998750,,,,,19912000,,,,,,,
AMERIGAS PARTNERS LP,2016,Q2,122918000,283107333.3,170666.6667,16340500,,,,,,,97054000,296332000,362396750,,,
AMERIGAS PARTNERS LP,2018,Q1,,,,9898250,,,,,,,,,158228000,1217466000,,
AMERIGAS PARTNERS LP,2018,Q3,,,,,,,,,,,137366000,70247750,,1198802667,,
AMERISOURCEBERGEN CORP,2011,Q2,3548553200,1525944800,-34621500,,0.01,6.00E+08,491859414,275571587,,,,,,,3626080000,278925750
AMERISOURCEBERGEN CORP,2012,Q1,,1512331800,-47624500,725540200,,,,,,,,64523200,,313304000,,267033000
AMERISOURCEBERGEN CORP,2012,Q3,9186489000,3890275000,-47060500,,0.01,6.00E+08,379048532,256093851.5,,,,,,818981000,2597636000,264088000
AMERISOURCEBERGEN CORP,2013,Q1,,,,1420084250,0.01,6.00E+08,263278873,,,,,,,,,
